"S.No","plod","name","title","male","culture","dateOfBirth","DateoFdeath","mother","father","heir","house","spouse","book1","book2","book3","book4","book5","isAliveMother","isAliveFather","isAliveHeir","isAliveSpouse","isMarried","isNoble","age","numDeadRelations","boolDeadRelations","isPopular","popularity","isAlive"
65,0.084,"Quentin Tyrell","Nobility",0,NA,NA,NA,"","","","House Tyrell","",0,0,1,1,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.127090301,1
66,0.35,"Quort",NA,1,NA,285,299,"","","","wildling","",0,0,1,0,0,NA,NA,NA,NA,0,0,14,0,0,0,0.010033445,0
67,0.217,"Qyle",NA,1,NA,NA,299,"","","","","",0,1,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.013377926,0
68,0.26,"Rafe",NA,0,NA,NA,NA,"","","","","",0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.006688963,1
69,0.637,"Racallio Ryndoon",NA,1,"Tyroshi",NA,NA,"","","","Kingdom of the Three Daughters","",0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.010033445,1
70,0.012,"Ragnor Pyke",NA,0,"Ironborn",NA,NA,"","","","House Greyjoy","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.010033445,1
71,0.291,"Rainbow Knight",NA,0,NA,NA,NA,"","","","","",1,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.003344482,1
72,0.254,"Randa",NA,0,NA,NA,NA,"","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.003344482,1
73,0.868,"Rast",NA,1,NA,NA,299,"","","","Night's Watch","",1,1,1,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.066889632,0
74,0.009,"Rawney",NA,1,NA,NA,NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.010033445,1
75,0.284,"Raymar Royce","Nobility",1,NA,NA,NA,"","","","House Royce of the Gates of the Moon","",0,0,1,0,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.013377926,1
76,0.018,"Raymond Nayland","Nobility",0,NA,NA,NA,"","","","House Nayland","",0,0,0,1,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.016722408,1
77,0.077,"Raymund Tyrell",NA,0,NA,NA,NA,"","","","House Tyrell","",0,0,1,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.127090301,1
78,0.002,"Red Oarsman",NA,0,"Ironborn",NA,NA,"","","","","",0,0,0,1,1,NA,NA,NA,NA,0,0,NA,0,0,0,0.016722408,1
79,0.074,"Red Lamb","Nobility",1,"Lhazareen",NA,NA,"","","","House Targaryen","",0,0,0,0,0,NA,NA,NA,NA,0,1,NA,0,0,0,0,1
80,0.217,"Redtusk","Nobility",1,NA,NA,NA,"","","","","",0,0,0,0,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.016722408,1
81,0.717,"Red Rolfe",NA,1,NA,NA,299,"","","","House Greyjoy","",0,1,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.013377926,0
82,0.288,"Redwyn",NA,0,NA,NA,NA,"","","","Night's Watch","",0,1,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.006688963,1
83,0.157,"Reynard Webber","Nobility",0,NA,NA,NA,"","","","House Webber","",0,0,0,0,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.006688963,1
84,0.283,"Reysen",NA,1,NA,NA,NA,"","","","","",0,1,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.023411371,1
85,0.999,"Rhaegel Targaryen","Royalty",1,"Valyrian",173,215,"","","","House Targaryen","Alys Arryn",0,0,0,0,0,NA,NA,NA,1,1,1,42,3,1,0,0.096989967,0
86,0.996,"Rhaena Targaryen (daughter of Daemon)","Nobility",0,NA,116,NA,"","","","House Targaryen","Corwyn Corbray",0,0,0,0,0,NA,NA,NA,1,1,1,100,0,0,0,0.143812709,0
87,1,"Rhaena Targaryen (daughter of Aegon III)","Church",0,"Valyrian",147,NA,"","","","House Targaryen","",0,0,0,0,0,NA,NA,NA,NA,0,1,100,0,0,0,0.073578595,0
88,0.998,"Rhaenys Targaryen","Royalty",0,"Valyrian",-25,10,"","","","House Targaryen","Aegon I Targaryen",1,0,0,0,0,NA,NA,NA,0,1,1,35,1,1,0,0.277591973,0
89,0.237,"Rhaenys Targaryen (daughter of Rhaegar)","Royalty",0,NA,280,283,"","","","House Targaryen","",1,1,1,1,1,NA,NA,NA,NA,0,1,3,10,1,0,0.244147157,0
90,0.01,"Rhialta Vance",NA,0,NA,NA,NA,"","","","House Vance of Wayfarer's Rest","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.016722408,1
91,0.758,"Rhaenys Targaryen (daughter of Aemon)","Royalty",0,"Valyrian",74,129,"","","","House Targaryen","Corlys Velaryon",0,0,0,0,0,NA,NA,NA,0,1,1,55,0,0,0,0.143812709,0
92,0.441,"Rhonda Rowan",NA,0,NA,NA,NA,"","","","House Rowan","Baelor Hightower",0,0,0,1,0,NA,NA,NA,1,1,0,NA,0,0,0,0.050167224,1
93,0.021,"Richard Farrow","Nobility",0,NA,NA,299,"","","","House Farrow","",0,0,0,1,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.016722408,0
94,0.97,"Richard Lonmouth","Nobility",1,NA,NA,NA,"","","","House Lonmouth","",0,0,1,0,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.023411371,1
95,0.002,"Rigney","Nobility",1,NA,NA,NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.003344482,1
96,0.295,"Rob",NA,1,NA,NA,NA,"","","","House Osgrey","",0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.003344482,1
97,0.094,"Rickard Tyrell",NA,1,NA,NA,NA,"","","","House Tyrell","",0,0,1,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.123745819,1
98,0.282,"Robb Reyne","Nobility",1,NA,NA,NA,"","","","House Reyne","",0,0,0,0,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.006688963,1
99,0.787,"Robert Ashford","Nobility",1,"Reach",NA,NA,"","","","House Ashford","",0,0,0,0,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.023411371,1
100,0.545,"Robert Brax (son of Flement)",NA,1,NA,290,NA,"","","","House Brax","",0,1,1,1,0,NA,NA,NA,NA,0,0,15,0,0,0,0.120401338,1
101,0.276,"Robert Paege","Nobility",0,NA,NA,NA,"","","","House Paege","",0,0,1,0,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.010033445,1
102,0.964,"Robb Stark",NA,1,NA,NA,NA,"Catelyn Stark","Eddard Stark","Bran Stark","","",0,0,0,0,0,0,0,1,NA,0,0,NA,7,1,1,1,0
103,0.013,"Robin",NA,1,NA,NA,NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.016722408,1
104,0.232,"Robert Frey (son of Raymund)",NA,1,NA,283,NA,"","","","House Frey","",0,1,1,1,0,NA,NA,NA,NA,0,0,22,0,0,0,0.147157191,1
105,0.241,"Robin Greyjoy",NA,1,"Ironborn",NA,NA,"","","","House Greyjoy","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.063545151,1
106,0.233,"Robin Hollard",NA,1,NA,NA,NA,"","","","House Hollard","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.026755853,1
107,0.002,"Rodrik Freeborn",NA,1,"Ironborn",NA,NA,"","","","","",0,0,0,1,1,NA,NA,NA,NA,0,0,NA,0,0,0,0.013377926,1
108,0.011,"Roelle","Church",0,NA,NA,NA,"","","","House Tarth","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,1
109,0.814,"Rodrik Stark (son of Beron)",NA,1,"North",NA,NA,"","","","House Stark","Arya Flint",0,0,0,0,1,NA,NA,NA,1,1,0,NA,0,0,0,0.100334448,1
110,0.802,"Roger of Pennytree",NA,1,NA,NA,194,"","","","","",0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.030100334,0
111,0.018,"Roggo",NA,0,NA,NA,NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.013377926,1
112,0.522,"Roger Ryswell",NA,1,"North",NA,NA,"","","","House Ryswell","",0,0,0,1,1,NA,NA,NA,NA,0,0,NA,0,0,0,0.046822742,1
113,0.007,"Rolder",NA,1,NA,NA,NA,"","","","House Lannister","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,1
114,0.241,"Roland Crakehall (Kingsguard)","Nobility",1,NA,NA,NA,"","","","House Crakehall","",0,0,0,0,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.02006689,1
115,0.298,"Rolfe",NA,1,NA,NA,NA,"","","","","",0,1,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.003344482,1
116,0.057,"Rolland Darklyn","Nobility",1,NA,NA,NA,"","","","House Darklyn","",0,0,0,1,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.010033445,1
117,0.238,"Rollam Westerling",NA,1,NA,290,NA,"","","","House Westerling","",0,0,1,1,0,NA,NA,NA,NA,0,0,15,0,0,0,0.043478261,1
118,0.01,"Romny Weaver",NA,1,"Ironborn",NA,NA,"","","","House Weaver","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.02006689,1
119,0.606,"Ronald Storm",NA,1,NA,NA,NA,"","","","House Connington","",0,0,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0.040133779,1
120,0.8,"Ronnel Stout",NA,0,"North",NA,NA,"","","","House Stout","",0,0,1,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.033444816,1
121,0.261,"Ronnel Harclay",NA,0,NA,NA,NA,"","","","House Harclay","",0,0,1,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.013377926,1
122,0.273,"Roone",NA,1,NA,286,NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,19,0,0,0,0.040133779,1
123,0.011,"Roone (maester)","Nobility",1,NA,NA,NA,"","","","","",0,0,1,1,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.010033445,1
124,0.004,"Roryn Drumm",NA,0,"Ironborn",NA,NA,"","","","House Drumm","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.003344482,1
125,0.522,"Roose Ryswell",NA,1,"North",NA,NA,"","","","House Ryswell","",0,0,0,1,1,NA,NA,NA,NA,0,0,NA,0,0,0,0.030100334,1
126,0.021,"Rosamund Lannister",NA,0,NA,NA,NA,"","","","House Lannister of Lannisport","",0,0,0,1,1,NA,NA,NA,NA,0,0,NA,0,0,0,0.023411371,1
127,0.181,"Rosey",NA,0,NA,284,NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,21,0,0,0,0.030100334,1
128,0.217,"Rowan",NA,1,"Free Folk",NA,300,"","","","","",0,0,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0.060200669,0
129,0.397,"Rudge",NA,0,NA,NA,NA,"","","","Night's Watch","",1,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,1
130,0.859,"Runciter","Nobility",1,NA,NA,112,"","","","","",0,0,0,0,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.244147157,0
131,0.029,"Rupert Crabb","Nobility",0,NA,NA,NA,"","","","House Crabb","",0,0,0,1,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.006688963,1
132,0.001,"Rus",NA,0,"Ironborn",NA,NA,"","","","Drowned men","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.010033445,1
133,0.187,"Rusty Flowers",NA,1,NA,NA,NA,"","","","Night's Watch","",0,0,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,1
134,0.003,"Ryam","Nobility",1,NA,NA,NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.013377926,1
135,0.011,"Ryk",NA,1,"Free Folk",NA,NA,"","","","","Munda",0,0,1,1,1,NA,NA,NA,1,1,0,NA,0,0,0,0.026755853,1
136,0.254,"Ryles",NA,0,NA,NA,299,"","","","Night's Watch","",0,0,1,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.013377926,0
137,0.121,"Rymolf",NA,0,"Ironborn",NA,NA,"","","","House Greyjoy","",0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,1
138,0.204,"S'vrone",NA,0,NA,NA,NA,"","","","","",0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.013377926,1
139,0.26,"Saathos",NA,0,NA,NA,NA,"","","","","",0,1,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.003344482,1
140,0.788,"Sailor's Wife",NA,0,NA,NA,NA,"","","","Happy Port","",0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.046822742,1
141,0.849,"Sallor",NA,1,"Qartheen",NA,299,"","","","Stormcrows","",0,0,1,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.030100334,0
142,0.282,"Salloreon",NA,1,NA,NA,NA,"","","","Antler Men","",0,1,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.013377926,1
143,0.24,"Sam Stoops",NA,1,NA,NA,NA,"","","","House Osgrey","",0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.003344482,1
144,0.022,"Samwell Spicer","Nobility",1,NA,NA,NA,"","","","House Spicer","",0,0,1,1,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.013377926,1
145,0.123,"Sargon Botley",NA,1,"Ironborn",NA,NA,"","","","House Botley","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.053511706,1
146,0.227,"Scarb",NA,0,NA,NA,NA,"","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.006688963,1
147,0.298,"Sawwood",NA,1,NA,NA,NA,"","","","Night's Watch","",0,0,1,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.010033445,1
148,0.254,"Sedgekins",NA,0,NA,NA,NA,"","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,1
149,0.965,"Sefton Staunton","Church",1,NA,NA,NA,"","","","House Staunton","",0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.030100334,1
150,0.329,"Serra",NA,0,"Lysene",NA,NA,"","","","","Illyrio Mopatis",0,0,0,0,1,NA,NA,NA,1,1,0,NA,0,0,0,0.016722408,1
151,0.19,"Sharna",NA,0,NA,NA,NA,"","","","","Husband",0,0,1,1,0,NA,NA,NA,1,1,0,NA,0,0,0,0.036789298,1
152,0.263,"Shella",NA,0,NA,NA,NA,"","","","","",1,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.003344482,1
153,0.234,"Sherrit","Royalty",0,NA,NA,NA,"","","","","",0,0,1,0,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.003344482,1
154,0.024,"Shortear",NA,0,"Westeros",NA,NA,"","","","House Lannister","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.013377926,1
155,0.012,"Shyra",NA,0,"North",NA,NA,"","","","House Stark","",0,1,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.02006689,1
156,0.002,"Sigfry Stonetree",NA,1,"Ironborn",NA,NA,"","","","House Stonetree","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.003344482,1
157,0.807,"Sigrin",NA,1,"Ironborn",NA,NA,"","","","House Greyjoy","",0,1,1,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.023411371,1
158,0.322,"Simon Leygood","Nobility",0,NA,NA,NA,"","","","House Leygood","",0,0,0,0,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.003344482,1
159,0.254,"Sky Blue Su",NA,0,NA,NA,NA,"","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,1
160,0.387,"Skinner",NA,1,NA,NA,NA,"","","","House Bolton","",0,0,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0.033444816,1
161,0.183,"Skittrick",NA,0,"North",NA,NA,"","","","House Stark","",0,1,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.006688963,1
162,0.032,"Skyte",NA,1,"Ironborn",NA,NA,"","","","","",0,1,1,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.023411371,1
